FIPS,qtr,Property,Violence,Drug,Prostitution,pop,med_inc,pct_color,pop_density,Property.k,Violence.k,Drug.k,Prostitution.k,Allcrime,Allcrime.k,group
8031000102,2011,49,1,2,0,3272,82917,0.30592909535452323,4448.413487369307,14.97555012224939,0.3056234718826406,0.6112469437652812,0,52,15.89242053789731,3
8031000102,2011.25,28,3,1,0,3272,82917,0.30592909535452323,4448.413487369307,8.557457212713937,0.9168704156479217,0.3056234718826406,0,32,9.7799511002445,3
8031000102,2011.5,33,5,2,0,3272,82917,0.30592909535452323,4448.413487369307,10.08557457212714,1.528117359413203,0.6112469437652812,0,40,12.224938875305623,3
8031000102,2011.75,21,1,2,0,3272,82917,0.30592909535452323,4448.413487369307,6.418092909535452,0.3056234718826406,0.6112469437652812,0,24,7.334963325183374,3
8031000102,2012,23,2,1,0,3272,82917,0.30592909535452323,4448.413487369307,7.029339853300733,0.6112469437652812,0.3056234718826406,0,26,7.946210268948655,3
8031000102,2012.25,27,7,1,0,3272,82917,0.30592909535452323,4448.413487369307,8.251833740831296,2.139364303178484,0.3056234718826406,0,35,10.69682151589242,3
8031000102,2012.5,34,5,2,0,3272,82917,0.30592909535452323,4448.413487369307,10.39119804400978,1.528117359413203,0.6112469437652812,0,41,12.530562347188264,3
8031000102,2012.75,24,2,1,0,3272,82917,0.30592909535452323,4448.413487369307,7.334963325183374,0.6112469437652812,0.3056234718826406,0,27,8.251833740831296,3
8031000102,2013,28,8,4,0,3272,82917,0.30592909535452323,4448.413487369307,8.557457212713937,2.444987775061125,1.2224938875305624,0,40,12.224938875305623,3
8031000102,2013.25,42,7,1,0,3272,82917,0.30592909535452323,4448.413487369307,12.836185819070904,2.139364303178484,0.3056234718826406,0,50,15.28117359413203,3
8031000102,2013.5,46,5,5,0,3272,82917,0.30592909535452323,4448.413487369307,14.058679706601467,1.528117359413203,1.528117359413203,0,56,17.114914425427873,3
8031000102,2013.75,28,9,3,0,3272,82917,0.30592909535452323,4448.413487369307,8.557457212713937,2.750611246943765,0.9168704156479217,0,40,12.224938875305623,3
8031000102,2014,22,5,4,0,3272,82917,0.30592909535452323,4448.413487369307,6.723716381418093,1.528117359413203,1.2224938875305624,0,31,9.474327628361857,3
8031000102,2014.25,25,7,5,1,3272,82917,0.30592909535452323,4448.413487369307,7.640586797066015,2.139364303178484,1.528117359413203,0.3056234718826406,38,11.613691931540343,3
8031000102,2014.5,32,12,10,0,3272,82917,0.30592909535452323,4448.413487369307,9.7799511002445,3.667481662591687,3.056234718826406,0,54,16.503667481662593,3
