FIPS,qtr,no_action_sub,no_action_veh,citation_sub,citation_veh,arrest_sub,arrest_veh,no_action,citation,arrest,allstop,allstop_sub,allstop_veh,pop,med_inc,pct_color,pop_density,allstop.k,no_action.k,citation.k,arrest.k,group
8031000102,2011,18,57,1,7,2,7,75,8,9,92,21,71,3272,82917,0.30592909535452323,4448.413487369307,28.117359413202934,22.921760391198045,2.444987775061125,2.750611246943765,3
8031000102,2011.25,9,21,1,2,3,3,30,3,6,39,13,26,3272,82917,0.30592909535452323,4448.413487369307,11.919315403422983,9.168704156479217,0.9168704156479217,1.8337408312958434,3
8031000102,2011.5,18,13,0,1,4,2,31,1,6,38,22,16,3272,82917,0.30592909535452323,4448.413487369307,11.613691931540343,9.474327628361857,0.3056234718826406,1.8337408312958434,3
8031000102,2011.75,9,12,0,6,1,2,21,6,3,30,10,20,3272,82917,0.30592909535452323,4448.413487369307,9.168704156479217,6.418092909535452,1.8337408312958434,0.9168704156479217,3
8031000102,2012,7,34,1,11,3,7,41,12,10,63,11,52,3272,82917,0.30592909535452323,4448.413487369307,19.25427872860636,12.530562347188264,3.667481662591687,3.056234718826406,3
8031000102,2012.25,15,42,1,13,2,5,57,14,7,78,18,60,3272,82917,0.30592909535452323,4448.413487369307,23.838630806845966,17.420537897310513,4.278728606356968,2.139364303178484,3
8031000102,2012.5,14,17,2,14,4,4,31,16,8,55,20,35,3272,82917,0.30592909535452323,4448.413487369307,16.809290953545233,9.474327628361857,4.88997555012225,2.444987775061125,3
8031000102,2012.75,12,36,0,12,1,11,48,12,12,72,13,59,3272,82917,0.30592909535452323,4448.413487369307,22.00488997555012,14.669926650366747,3.667481662591687,3.667481662591687,3
8031000102,2013,9,38,0,14,1,0,47,14,1,62,10,52,3272,82917,0.30592909535452323,4448.413487369307,18.948655256723715,14.364303178484107,4.278728606356968,0.3056234718826406,3
8031000102,2013.25,11,24,0,10,1,1,35,10,2,47,12,35,3272,82917,0.30592909535452323,4448.413487369307,14.364303178484107,10.69682151589242,3.056234718826406,0.6112469437652812,3
8031000102,2013.5,13,22,1,5,4,4,35,6,8,49,18,31,3272,82917,0.30592909535452323,4448.413487369307,14.97555012224939,10.69682151589242,1.8337408312958434,2.444987775061125,3
