incident_id,offense,year,date,geo_lon,geo_lat,district_id,precinct_id
20104081,Property,2010,03jan2010,-104.99068,39.756702,6,612
20104843,Property,2010,03jan2010,-104.81396,39.782513,5,521
20103769,Violence,2010,03jan2010,-105.04475,39.722309,4,411
20104432,Property,2010,03jan2010,-105.03073,39.693237,4,421
20104395,Violence,2010,03jan2010,,,3,323
20103565,Drug,2010,03jan2010,-104.9799,39.741669,6,621
20104451,Property,2010,03jan2010,-104.81943,39.785374,5,521
20105000046,Property,2010,03jan2010,-105.03548,39.664078,4,423
20103663,Violence,2010,03jan2010,-105.03471,39.679527,4,421
20104102,Property,2010,03jan2010,-104.91472,39.732937,2,222
20104455,Drug,2010,03jan2010,-105.02011,39.743923,1,121
20103810,Drug,2010,03jan2010,-104.84846,39.771801,5,512
20105000051,Property,2010,03jan2010,-105.08808,39.636459,4,423
20105000059,Property,2010,03jan2010,-105.02848,39.744144,1,121
20103925,Violence,2010,03jan2010,-105.03452,39.727436,1,122
20104354,Property,2010,03jan2010,-104.9832,39.72438,3,311
20104043,Property,2010,03jan2010,-104.9045,39.780773,2,221
20105043,Property,2010,03jan2010,-104.97982,39.740185,6,621
20104264,Property,2010,03jan2010,-105.0494,39.738247,1,122
20104455,Drug,2010,03jan2010,-105.02011,39.743923,1,121
20103674,Violence,2010,03jan2010,-104.98389,39.727413,6,623
20103876,Property,2010,03jan2010,-104.87109,39.70956,3,321
20103769,Violence,2010,03jan2010,-105.04475,39.722309,4,411
20104552,Property,2010,03jan2010,-105.01672,39.715805,4,411
20104133,Violence,2010,03jan2010,-105.09095,39.633774,4,423
20103663,Violence,2010,03jan2010,-105.03471,39.679527,4,421
20103705,Violence,2010,03jan2010,-104.9883,39.726563,1,123
20103683,Property,2010,03jan2010,-104.98875,39.734127,6,611
20103726,Violence,2010,03jan2010,-104.82346,39.779316,5,521
20104637,Property,2010,03jan2010,-105.02901,39.71941,4,411
20104635,Property,2010,03jan2010,-104.89075,39.740452,2,223
20103663,Violence,2010,03jan2010,,,4,421
20104018,Property,2010,03jan2010,-105.0671,39.65226,4,423
20103930,Property,2010,03jan2010,-104.97245,39.739449,6,622
20104467,Property,2010,03jan2010,-104.91582,39.673851,3,323
20104213,Drug,2010,03jan2010,-104.99131,39.744316,6,611
20104078,Violence,2010,03jan2010,-105.01205,39.693657,4,422
20104045,Property,2010,03jan2010,-105.0247,39.697617,4,412
20103944,Property,2010,03jan2010,-104.75947,39.782867,5,523
20103999,Property,2010,03jan2010,-105.03115,39.715664,4,411
20103612,Property,2010,03jan2010,-105.0518,39.730457,1,122
20104255,Property,2010,03jan2010,-104.95473,39.669556,3,314
20103810,Drug,2010,03jan2010,-104.84846,39.771801,5,512
20103717,Violence,2010,03jan2010,-104.97751,39.783543,1,112
20103909,Property,2010,03jan2010,-105.04366,39.738636,1,122
20104080,Property,2010,03jan2010,-104.97177,39.759048,2,211
20103624,Property,2010,03jan2010,-104.98875,39.734127,6,611
20104063,Property,2010,03jan2010,-104.81303,39.780079,5,521
20104717,Property,2010,03jan2010,-105.02241,39.775749,1,111
20105000044,Property,2010,03jan2010,-105.00612,39.758995,1,113
20103895,Property,2010,03jan2010,-115.46406,34.638241,3,321
20104255,Property,2010,03jan2010,-104.95473,39.669556,3,314
20104860,Violence,2010,03jan2010,-105.06734,39.652477,4,423
20103878,Property,2010,03jan2010,-104.89201,39.713306,3,321
20105000065,Property,2010,03jan2010,-105.01985,39.727512,1,122
20103872,Violence,2010,03jan2010,-104.87102,39.656101,3,323
20104238,Property,2010,03jan2010,-104.90549,39.700985,3,322
20105016,Drug,2010,04jan2010,-105.02328,39.776039,1,111
20105491,Property,2010,04jan2010,-104.95219,39.786362,2,212
20105412,Violence,2010,04jan2010,-104.97219,39.771423,2,212
20105000067,Violence,2010,04jan2010,-105.05626,39.657204,4,423
20105247,Property,2010,04jan2010,-104.83482,39.781254,5,521
20105000085,Property,2010,04jan2010,-104.97891,39.711617,3,311
20106193,Property,2010,04jan2010,-104.94644,39.734974,2,213
20105000074,Property,2010,04jan2010,-104.98485,39.743275,6,621
20106466,Property,2010,04jan2010,-104.99019,39.755741,6,612
20106437,Property,2010,04jan2010,-105.02543,39.697586,4,412
20106031,Property,2010,04jan2010,-105.02643,39.686485,4,421
20105910,Property,2010,04jan2010,-104.98917,39.745205,6,611
20106139,Property,2010,04jan2010,-104.98795,39.714272,3,311
20105069,Violence,2010,04jan2010,-105.06605,39.654301,4,423
20105000075,Property,2010,04jan2010,-105.02166,39.733932,1,122
20105000093,Property,2010,04jan2010,-105.00524,39.740154,1,123
20105797,Property,2010,04jan2010,-104.95491,39.717316,3,311
20105485,Property,2010,04jan2010,-104.79506,39.774071,5,522
20105153,Property,2010,04jan2010,-105.03506,39.787586,1,111
20105464,Property,2010,04jan2010,-104.91376,39.690033,3,322
20105934,Property,2010,04jan2010,-105.02457,39.68924,4,422
20105016,Drug,2010,04jan2010,-105.02328,39.776039,1,111
20105000104,Property,2010,04jan2010,-104.98721,39.709015,3,312
20105539,Property,2010,04jan2010,-105.02316,39.781448,1,111
20105125,Violence,2010,04jan2010,,,3,324
20106556,Property,2010,04jan2010,-104.97253,39.677528,3,313
20105605,Property,2010,04jan2010,-104.96986,39.750088,6,622
20106296,Property,2010,04jan2010,-104.91625,39.650784,3,324
20105000076,Violence,2010,04jan2010,-104.99772,39.749321,6,612
20105000089,Property,2010,04jan2010,-104.9157,39.739609,2,222
20105000106,Property,2010,04jan2010,-104.99169,39.752289,6,611
20105707,Property,2010,04jan2010,-105.05444,39.67955,4,421
20105000152,Property,2010,04jan2010,-105.02317,39.680714,4,422
20105683,Property,2010,04jan2010,-104.94029,39.715187,3,321
20105000109,Property,2010,04jan2010,-105.0284,39.711426,4,411
20105000107,Property,2010,04jan2010,-104.9404,39.691444,3,322
20105000072,Property,2010,04jan2010,-105.03864,39.752384,1,121
20105438,Property,2010,04jan2010,-105.01404,39.732208,1,123
20106414,Property,2010,04jan2010,-104.98537,39.715992,3,311
20105563,Property,2010,04jan2010,-104.96809,39.724277,3,311
20105855,Property,2010,04jan2010,-105.03939,39.694756,4,421
20105454,Property,2010,04jan2010,-104.90975,39.675098,3,323
20105000090,Property,2010,04jan2010,-104.98327,39.737354,6,623
20105433,Property,2010,04jan2010,-104.99326,39.750671,6,611
20105361,Property,2010,04jan2010,-104.77523,39.824055,5,522
20105000150,Property,2010,04jan2010,-105.02346,39.660038,4,422
20105477,Property,2010,04jan2010,-104.99424,39.753948,6,612
20105000083,Property,2010,04jan2010,-104.98327,39.737354,6,623
20106028,Property,2010,04jan2010,-104.99319,39.748077,6,611
20106076,Violence,2010,04jan2010,-105.0671,39.65226,4,423
20105332,Property,2010,04jan2010,-104.82291,39.779591,5,521
20106299,Property,2010,04jan2010,-104.91787,39.675903,3,323
20106251,Property,2010,04jan2010,-104.91676,39.70166,3,322
20105000114,Property,2010,04jan2010,-104.99487,39.728752,1,123
20105000071,Property,2010,04jan2010,-104.79676,39.774254,5,522
20105000084,Property,2010,04jan2010,-115.46406,34.638241,4,422
20105000078,Property,2010,04jan2010,-104.98655,39.741898,6,621
20105000067,Property,2010,04jan2010,-105.05626,39.657204,4,423
20106326,Property,2010,04jan2010,-104.97608,39.763237,2,211
20106247,Property,2010,04jan2010,-105.00467,39.745716,1,123
20106241,Property,2010,04jan2010,-104.92573,39.680267,3,322
20105284,Property,2010,04jan2010,-105.08282,39.632698,4,423
20107313,Property,2010,04jan2010,-105.01693,39.76265,1,113
20105016,Drug,2010,04jan2010,-105.02328,39.776039,1,111
20105736,Property,2010,04jan2010,-104.90073,39.756706,5,512
20105000110,Property,2010,04jan2010,-104.98552,39.71217,3,311
20106281,Property,2010,04jan2010,-104.97445,39.735996,6,623
20105006,Violence,2010,04jan2010,-104.99268,39.753273,6,612
20106546,Property,2010,04jan2010,-104.97655,39.723507,3,311
20106328,Violence,2010,04jan2010,-105.04354,39.711082,4,412
20105834,Violence,2010,04jan2010,-104.96495,39.678352,3,313
20105223,Property,2010,04jan2010,-104.74561,39.770557,5,523
20106370,Property,2010,04jan2010,-105.02444,39.664509,4,422
20105000144,Property,2010,04jan2010,-104.99048,39.728077,1,123
20106919,Property,2010,05jan2010,-104.99973,39.722172,3,311
20107709,Property,2010,05jan2010,-105.0304,39.706497,4,412
20106402,Violence,2010,05jan2010,,,6,611
20106800,Property,2010,05jan2010,-104.9474,39.685516,3,312
20106724,Property,2010,05jan2010,-105.02482,39.753887,1,121
